wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
230.3,0.04867298254866958,6.327487644739449E-4,1.0
230.4,0.0500845358379972,6.510989624075592E-4,1.0
230.5,0.051298504835643764,6.668805726803839E-4,1.0
230.6,0.052124628366973395,6.776201189495623E-4,1.0
230.7,0.05244118084115624,6.817353423684835E-4,1.0
230.8,0.052225513545584676,6.789316539652646E-4,1.0
230.9,0.051560678420226574,6.702888058498502E-4,1.0
231.0,0.05061384834027528,6.579799810424447E-4,1.0
231.1,0.04959364722133398,6.447174237109721E-4,1.0
231.2,0.04869823881045699,6.330771138891578E-4,1.0
231.3,0.04807044886654973,6.249158177524805E-4,1.0
231.4,0.0477732482037127,6.210522260516882E-4,1.0
231.5,0.04779113139540553,6.212847074493766E-4,1.0
231.6,0.04805331497059822,6.246930570341647E-4,1.0
231.7,0.04846672640760898,6.30067428573966E-4,1.0
231.8,0.04894521667740584,6.362877902574837E-4,1.0
231.9,0.04942485586733937,6.425231113098562E-4,1.0
232.0,0.04986398313419223,6.482317694462836E-4,1.0
232.1,0.05023248677977323,6.53022259939462E-4,1.0
232.2,0.05050043493686914,6.565056391991675E-4,1.0
232.3,0.05063400939102173,6.58242090139538E-4,1.0
232.4,0.05060050088546991,6.578064640052617E-4,1.0
232.5,0.050378959111286405,6.549264653585851E-4,1.0
232.6,0.049969903580185174,6.496087298728526E-4,1.0
232.7,0.04939848065724492,6.421802681870759E-4,1.0
232.8,0.04870856910107732,6.332113407552242E-4,1.0
232.9,0.04795217003612995,6.233782041817904E-4,1.0
233.0,0.04717706854947924,6.1330187600106E-4,1.0
233.1,0.04641750246119857,6.034274701960385E-4,1.0
233.2,0.04568907710392713,5.93957956880331E-4,1.0
233.3,0.04498866541677117,5.848525906912982E-4,1.0
233.4,0.04429870390755415,5.758831393904984E-4,1.0
233.5,0.04359392632387876,5.66721020732075E-4,1.0
233.6,0.042850005530676846,5.57050050701946E-4,1.0
233.7,0.0420507367587161,5.466595757752657E-4,1.0
233.8,0.041193922073822026,5.355209577828646E-4,1.0
233.9,0.040293328536415096,5.238132434897125E-4,1.0
234.0,0.03937972722493887,5.119364359416068E-4,1.0
234.1,0.0385002438462174,5.005031125620008E-4,1.0
234.2,0.037719128012416364,4.903486114926636E-4,1.0
234.3,0.037115695175406936,4.8250402323901653E-4,1.0
234.4,0.036779491171581746,4.78133384604007E-4,1.0
234.5,0.03679919265427351,4.7838949831202626E-4,1.0
234.6,0.03724519346072674,4.841874761041254E-4,1.0
234.7,0.03815128183357001,4.959666403010488E-4,1.0
234.8,0.03949909503183603,5.134882521815598E-4,1.0
234.9,0.041210316664642095,5.357340560294688E-4,1.0
235.0,0.04315250121675253,5.60982502065599E-4,1.0
235.1,0.04515545864878893,5.870209424756467E-4,1.0
235.2,0.04703701018951178,6.114810821600258E-4,1.0
235.3,0.04863065233458996,6.32198469247669E-4,1.0
235.4,0.04981064326802015,6.475383415818214E-4,1.0
235.5,0.05050866719941378,6.566126830875874E-4,1.0
235.6,0.0507199186454165,6.593589205294847E-4,1.0
235.7,0.05049903625148535,6.564874784089625E-4,1.0
235.8,0.049945126867672204,6.492866086773574E-4,1.0
235.9,0.0491822139250803,6.393687799572945E-4,1.0
236.0,0.048337158188019994,6.283830152824521E-4,1.0
236.1,0.047521095200843806,6.177742616273463E-4,1.0
236.2,0.04681825579548598,6.086372886784375E-4,1.0
236.3,0.04628312875825524,6.016806582920253E-4,1.0
236.4,0.04594420730854154,5.972746876068413E-4,1.0
236.5,0.04581069279804826,5.955389933660626E-4,1.0
236.6,0.04587714034438848,5.964027950540185E-4,1.0
236.7,0.04612379851182103,5.996093386784196E-4,1.0
236.8,0.046514531264394525,6.046888884156942E-4,1.0
236.9,0.04699504962799787,6.109356181696057E-4,1.0
237.0,0.04749567908929825,6.174438167363405E-4,1.0
237.1,0.047938932478033304,6.232060841284692E-4,1.0
237.2,0.04824943064262629,6.272426107898355E-4,1.0
237.3,0.048362953942741156,6.287184078246355E-4,1.0
237.4,0.04823174726313114,6.270126905292273E-4,1.0
237.5,0.04782716752525806,6.217531044967473E-4,1.0
237.6,0.04714124222243428,6.128360982984304E-4,1.0
237.7,0.046191464912567134,6.004890310578048E-4,1.0
237.8,0.045026539818842415,5.853449692949653E-4,1.0
237.9,0.043731497021985054,5.685094511136413E-4,1.0
238.0,0.042424405549607275,5.515172961167991E-4,1.0
238.1,0.04124283609981537,5.361568764783442E-4,1.0
238.2,0.04032049300469041,5.241663893684745E-4,1.0
238.3,0.03975941036298036,5.16872329171747E-4,1.0
238.4,0.039607563083349465,5.148983327671885E-4,1.0
238.5,0.03984811698814273,5.180254811421037E-4,1.0
238.6,0.04040375474746585,5.252488190308213E-4,1.0
238.7,0.041153270282202954,5.349924904294312E-4,1.0
238.8,0.04195419749540448,5.454045603983104E-4,1.0
238.9,0.04266662788625121,5.54666155949235E-4,1.0
239.0,0.043174310718129875,5.612660315819085E-4,1.0
239.1,0.04340100764701367,5.642130854539573E-4,1.0
239.2,0.04332135251440645,5.631775711663067E-4,1.0
239.3,0.04296424815470338,5.585352191701531E-4,1.0
239.4,0.042406192667788264,5.512804491445422E-4,1.0
239.5,0.04175321639636278,5.427917931228876E-4,1.0
239.6,0.04111499625573635,5.344949313439429E-4,1.0
239.7,0.040576502382974625,5.274944705888629E-4,1.0
239.8,0.040176897968823906,5.222996114753187E-4,1.0
239.9,0.03990286553030849,5.187372444197536E-4,1.0
240.0,0.03969899714501023,5.160869914107025E-4,1.0
240.1,0.03949237135138393,5.134008242748678E-4,1.0
240.2,0.03922103637753725,5.098734400235116E-4,1.0
240.3,0.03885766790543676,5.051496555097401E-4,1.0
240.4,0.03842049879812122,4.994664923287928E-4,1.0
240.5,0.03796863350366592,4.935922333970666E-4,1.0
240.6,0.037587261952553984,4.88634395878762E-4,1.0
240.7,0.03736838767120958,4.85789030790329E-4,1.0
240.8,0.037394932721672054,4.8613411490805447E-4,1.0
240.9,0.037732145777095556,4.905178211629391E-4,1.0
241.0,0.03842519438476682,4.995274939574301E-4,1.0
241.1,0.039500633585758206,5.135082174092531E-4,1.0
241.2,0.04096637594309807,5.325629026629031E-4,1.0
241.3,0.042808384649899,5.565090104937553E-4,1.0
241.4,0.04498639754832745,5.84823137614876E-4,1.0
241.5,0.047431039843347074,6.166035309433937E-4,1.0
241.6,0.050045792252866025,6.505952915176749E-4,1.0
241.7,0.05271507341113329,6.852959049865603E-4,1.0
241.8,0.055318766215510365,7.191439508460462E-4,1.0
